,S1,S2,S3,S4
133,0.9602065695,0.9990845052,0.0671460908,0.7777122159
134,0.0782956908,0.2125114952,0.0268062188,0.7414568805
135,0.689055565,2.27383522916009E-06,0.9769097491,0.7515017745
136,0.4526993845,0.079097853,0.9999233411,0.8354075203
137,0.0252808086,0.9988628644,0.9571460186,0.9128340692
138,0.9946940626,0.9984858058,0.0586220322,0.8694085539
139,0.9599957486,0.9991106917,0.9785574206,0.6226634234
140,0.939912273,0.9610879968,0.9999999339,0.9027363155
141,0.0171614762,0.0003001221,0.9999999999,0.9509968923
142,0.0349279357,0.0003464557,0.9999999999,0.7546727506
143,0.8990815292,0.0002894239,1.55818927060096E-07,0.9009747302
144,0.0027315232,0.9545815906,0.0326402627,0.6808297549
145,0.9605808119,0.0330714001,0.9769895162,0.5592420862
146,0.0022272391,0.0381796384,5.0274456871134E-05,0.9127611974
147,0.0024367184,0.0003539041,0.990936087,0.13269266
148,0.1570590819,0.0002800694,0.0326810114,0.0349343957
149,0.0358549472,0.9991188946,0.0587256198,0.7075419693
150,0.2124782611,0.039244446,0.9999615116,0.0211806065
151,0.036568777,0.0389737474,0.9912627869,0.8817307002
152,0.0196782164,0.9985429002,0.9774207091,0.7385930909
153,0.9299347898,0.1133065674,0.978259234,0.7455939221
154,0.9600225665,0.0382061034,8.93439981967072E-08,0.8921250162
155,0.95803109,0.0482395746,0.0414553658,0.1588160681
156,0.0305881733,0.8656650287,0.9999647822,0.0852607878
157,0.8588178022,0.9989769956,9.05089806210272E-08,0.00151083
158,0.0024012737,0.9995928037,0.0000492,0.0033691103
159,0.7881838961,0.000002127,0.9999999999,0.950678865
160,0.9994450756,0.9999999706,0.9999287129,0.002551954
161,0.8080296949,2.82379543076471E-06,0.9918081464,0.6312659099
162,0.940823853,0.9988256005,0.999957694,0.0033435967
163,0.0030144428,2.229731804908E-06,0.9696824199,0.9036328069
164,0.9618294732,2.34114462105936E-06,0.9799128484,0.1683896736
165,0.0025219414,0.0690903995,4.38357080675049E-05,0.7681061074
166,0.8714022685,0.0003286546,0.9999999416,0.4650199761
167,0.0233575253,0.0003098879,0.0686736405,0.166172383
168,0.9580055623,0.9999999686,0.0310686487,0.6953659112
169,0.7909108882,0.9986058929,8.91690429621712E-08,0.0783946445
170,0.084571583,0.8321090401,0.9999295852,0.0025514161
171,0.9994350582,0.1084583653,0.9916656881,0.7552070498
172,0.2279219541,0.1814029503,0.033120229,0.9598151736
173,0.0814537727,0.0833201972,0.9999999999,0.0251780277
174,0.4386025957,0.0003966112,0.0360908473,0.6494826016
175,0.7886346596,0.1010833568,0.9999248511,0.024193467
176,0.1612535445,0.9477998911,5.00327067448812E-05,0.7375752788
177,0.0200104617,0.8271583695,0.9536386916,0.7512536548
178,0.929643523,0.0379381535,0.9999999999,0.9995915541
179,0.9625985665,0.0002597683,9.45128798832118E-08,0.0357214912
180,0.9449973374,0.9619873153,0.9770934233,0.0207302318
181,0.1964426904,0.9982306518,0.9770400402,0.0160800558
182,0.226086145,0.9524615391,1.10344105497893E-07,0.4264851409
183,0.225795444,4.65870558559218E-06,0.9580524148,0.8814888132
184,0.2010493736,0.0362447353,0.9875230851,0.0034286609
185,0.7884339075,0.9801564884,0.9999999296,0.3493976277
186,0.9551436593,0.8504194521,0.9773448193,0.7503054322
187,0.9692893726,0.9985794417,0.0345561605,0.7725819163
188,0.9598093467,0.9996538079,0.976015645,0.8949116566
189,0.8770519679,0.9726700223,0.99999992,0.9538715842
190,0.8805514564,0.0002818264,0.9999999999,0.0023205343
191,0.0010829196,0.9368211242,0.9761310416,0.7571075488
192,0.0284011494,0.9778203692,0.981014279,0.0214325714
193,0.2012161621,0.0363294242,0.9570727639,0.9153070055
